client_id,timestamp,sku
18080713,2022-08-06 15:17:25,219064
8081030,2022-09-19 17:45:25,1375125
4480154,2022-12-06 06:35:15,1291128
3411058,2022-11-21 21:50:30,1523102
10551361,2022-09-22 06:26:40,728970
10551361,2022-09-22 06:26:55,728970
10551361,2022-09-30 18:21:50,1117918
10551361,2022-10-15 20:15:45,655683
10551361,2022-10-15 20:19:45,655683
14026438,2022-10-28 10:57:20,203565
10522335,2022-08-06 09:20:35,700561
10522335,2022-08-06 09:23:05,606762
10522335,2022-08-06 09:23:25,606762
10522335,2022-08-06 09:23:25,606762
10522335,2022-08-06 11:31:10,19966
10522335,2022-09-29 11:16:50,182770
10522335,2022-09-29 11:22:00,182770
10522335,2022-09-29 11:24:25,182770
4611762,2022-08-08 08:21:10,1063427
4611762,2022-08-08 08:21:45,633145
4611762,2022-08-08 08:21:59,1063427
4611762,2022-08-08 08:21:59,633145
4611762,2022-08-20 15:42:30,202239
22100410,2022-11-21 21:33:45,1335217
10015811,2022-09-14 16:32:55,175725
10015811,2022-09-14 20:29:10,859808
10015811,2022-09-14 20:31:25,1481548
10015811,2022-09-14 20:39:30,1071739
10015811,2022-09-14 20:39:50,1029853
23345474,2022-08-22 05:58:05,12168
23345474,2022-09-15 18:18:15,1483780
23345474,2022-09-15 18:18:35,1483780
23345474,2022-09-15 18:21:59,1483780
23345474,2022-09-15 18:22:10,1483780
23345474,2022-09-15 18:22:10,1483780
23345474,2022-09-15 18:22:15,1483780
23345474,2022-09-16 09:42:15,1483780
23345474,2022-10-18 20:12:10,517167
23345474,2022-10-19 18:50:00,1483780
23345474,2022-10-19 18:50:20,1483780
23345474,2022-10-21 14:34:00,517478
23345474,2022-10-21 14:34:40,517478
23345474,2022-10-23 10:37:55,504726
23345474,2022-10-23 10:37:59,504726
23345474,2022-10-23 10:38:00,504726
23345474,2022-10-23 10:38:55,504726
23345474,2022-10-25 16:58:20,504726
23345474,2022-10-25 17:00:10,504726
23345474,2022-10-25 17:00:10,504726
23345474,2022-10-25 17:00:15,504726
4825950,2022-11-26 11:58:30,308481
16189587,2022-12-06 22:19:45,1251552
16189587,2022-12-06 22:29:55,1008618
16189587,2022-12-06 22:35:35,795296
326164,2022-12-04 13:27:55,1536892
326164,2022-12-04 13:38:10,1100211
23503880,2022-11-08 18:27:40,491896
23503880,2022-11-21 08:01:59,181912
15673788,2022-06-28 03:46:20,1390297
15673788,2022-08-28 20:03:25,1390297
15673788,2022-09-22 09:59:00,538574
15673788,2022-09-22 09:59:25,87828
3575511,2022-10-25 08:33:35,388727
23826056,2022-07-19 15:23:30,66782
23826056,2022-07-21 12:14:25,1388866
23826056,2022-07-26 10:27:00,755674
23826056,2022-07-30 07:54:05,66782
23826056,2022-08-22 16:37:25,66782
23826056,2022-10-15 07:35:55,66782
23826056,2022-10-16 16:00:30,66782
23826056,2022-10-25 18:32:40,66782
23826056,2022-11-16 19:49:40,66782
23826056,2022-11-23 13:35:05,755674
3102861,2022-07-11 09:17:30,1162644
9956438,2022-10-07 16:54:20,1160916
9956438,2022-10-07 16:57:30,315320
1470155,2022-08-03 13:43:10,180001
1470155,2022-08-03 21:12:35,1276040
1470155,2022-08-03 21:14:40,123666
1470155,2022-08-12 04:23:05,1546239
1470155,2022-08-12 04:23:20,680731
1470155,2022-08-12 04:25:10,71546
1470155,2022-08-12 04:26:35,39513
1470155,2022-09-29 06:01:35,569910
1470155,2022-09-29 06:02:30,712636
1470155,2022-09-29 06:02:35,712636
1470155,2022-09-29 06:07:45,1421845
1470155,2022-10-22 09:46:15,1553405
1470155,2022-10-29 08:23:50,384324
1470155,2022-10-29 08:29:25,552041
1470155,2022-10-29 08:31:15,147366
1470155,2022-10-29 08:34:05,408317
1470155,2022-10-29 08:35:45,1163754
12315650,2022-07-07 21:02:15,1165370
12315650,2022-07-15 15:17:50,1360331
19077049,2022-08-22 19:58:15,928306
428999,2022-10-15 09:25:15,1393714
19336277,2022-07-23 12:21:20,338249
19336277,2022-07-23 12:25:35,338249
19336277,2022-07-23 12:28:40,1298396
